Subject_ID,Loc_Plot_State1,Loc_Plot_City1,Year_Exposure,Plot_Target1,Attack_Preparation,Changing_Target,Anticp_Fatals_Targ,Internet_Use_Plot,Extent_Plot,Violent,Primary_Event_Mass_Casualty_Incident,Primary_Event_Mass_Casualty_Incident_Type,Primary_Event_Mass_Casualty_Incident_Killed,Foreign_Fighter,Criminal_Severity,Criminal_Charges,Indict_Arrest,Current_Status,Group_Membership,Actively_Recruited,Recruiter1,Actively_Connect,Group_Competition,Role_Group,Length_Group,Clique,Internet_Radicalization,Media_Radicalization,Social_Media,Social_Media_Frequency,Social_Media_Platform1,Social_Media_Activities1,Radicalization_Islamist,Radicalization_Far_Right,Radicalization_Far_Left,Radicalization_Single_Issue,Ideological_Sub_Category1,Loc_Habitation_State1,Loc_Habitation_City1,External_Rad,Rad_duration,Radical_Behaviors,Radical_Beliefs,Event_Influence1,Radicalization_Place,Broad_Ethnicity,Age,Marital_Status,Children,Gender,Religious_Background,Convert,Reawakening,Citizenship,Residency_Status,Nativity,Time_US_Months,Immigrant_Generation,Immigrant_Source,Education,Student,Employment_Status,Work_History,Military,Military_Status_Arrest,Foreign_Military,Social_Stratum_Childhood,Social_Stratum_Adulthood,Abuse_Child,Abuse_Adult,Abuse_Type1,Psychological,Alcohol_Drug,Radical_Friend,Radical_Family,Radical_Signif_Other,Previous_Criminal_Activity,Previous_Criminal_Activity_Type1,Previous_Criminal_Activity_Age,Gang,Gang_Age_Joined,Trauma,Other_Ideologies,Angry_US,Group_Grievance
10331,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,7,2,4,4,3,-99,-99,-99,0,2,-99,0,1,-99,1,-99,28,3,0,1,0,0,3,Missouri,Blue Springs,0,-99,9,5,13,0,1,44,1,0,2,-99,0,0,United States of America,1,United States of America,528,0,-88,3,0,1,4,0,-88,0,-99,2,0,0,-88,0,0,2,0,0,0,-88,-88,0,-88,0,0,1,0
10332,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,7,2,4,3,3,-99,-99,-99,0,1,-99,0,1,1,-99,-99,-99,-99,0,1,0,0,3,Arizona,Tucson,0,-99,9,3,13,0,3,25,1,0,2,12,0,0,United States of America,1,United States of America,300,0,-88,-99,0,1,4,0,-88,0,-99,2,0,0,-88,0,0,2,2,0,0,-88,-88,0,-88,0,0,1,0
10333,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,7,2,4,3,3,0,-88,1,0,2,-99,0,1,1,1,-99,28,3,0,1,0,0,3,Arizona,Marana,0,-99,9,5,13,0,3,27,-99,1,1,12,0,0,United States of America,1,United States of America,324,0,-88,5,0,4,2,0,-88,0,2,1,0,0,-88,2,1,2,2,0,2,13,3,0,-88,1,0,1,0
10334,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,4,3,0,-88,1,0,1,-99,0,1,-99,2,5,1,1,0,1,0,0,3,Maryland,Columbia,0,1,9,5,13,0,3,36,-99,1,2,-99,0,0,United States of America,1,United States of America,432,0,-88,3,0,1,4,0,-88,0,2,2,0,0,-88,1,1,-99,0,0,1,20,2,0,-88,0,0,1,0
10335,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,4,3,0,-88,1,0,2,41,0,1,0,2,5,1,1,0,1,0,0,3,Maryland,Silver Spring,0,2,9,5,9,0,1,21,1,0,2,-99,0,0,United States of America,1,United States of America,240,0,-88,4,0,4,1,0,-88,0,1,1,2,0,3,1,0,3,0,0,1,5,2,0,-88,2,0,1,2
10336,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,9,2,4,3,3,-99,-99,-99,0,2,-99,0,1,-99,-99,-99,-99,-99,0,1,0,0,3,Florida,Largo,0,-99,9,5,13,0,3,38,-99,2,2,-99,0,0,United States of America,1,United States of America,456,0,-88,-99,0,2,4,0,-88,0,-99,3,0,0,-88,0,1,2,0,0,0,-88,-88,0,-88,0,0,1,0
10337,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,9,2,4,3,3,-99,-99,-99,0,3,48,0,1,-99,2,5,28,1,0,1,0,0,3,Florida,Orlando,0,2,9,5,13,0,3,30,2,0,2,-99,0,0,United States of America,1,United States of America,360,0,-88,-99,0,-99,-99,0,-88,0,-99,2,0,0,-88,0,0,2,0,0,0,-88,-88,0,-88,0,0,1,0
10338,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,9,2,4,3,3,-99,-99,-99,0,2,-99,0,1,-99,-99,-99,-99,-99,0,1,0,0,3,Florida,Apopka,0,-99,9,5,13,0,3,51,2,3,2,11,0,0,United States of America,1,United States of America,612,0,-88,3,0,1,4,0,-88,0,-99,2,0,0,-88,0,0,2,2,0,0,-88,-88,0,-88,0,0,1,0
10339,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,9,2,4,3,3,-99,-99,-99,0,3,18,0,1,0,2,5,3,1,0,1,0,0,3,Florida,Apopka,0,2,9,5,13,0,3,29,2,-99,2,11,0,0,United States of America,1,United States of America,348,0,-88,3,0,1,4,0,-88,0,2,2,0,0,-88,0,0,2,2,0,0,-88,-88,0,-88,0,0,1,0
10340,District of Columbia,Washington,2021,-88,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,2,4,3,3,-99,-99,-99,0,2,-99,0,1,0,2,5,2,1,0,1,0,0,3,California,San Francisco,0,2,9,5,12,0,3,32,1,0,2,11,0,0,United States of America,1,United States of America,384,0,-88,5,0,2,4,0,-88,0,2,2,0,0,-88,1,0,2,0,0,0,-88,-88,0,-88,0,0,1,0
